Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2023-12-01 16:25:30,Berkeley Running,4.11,00:34:53,8:29,223,"6,254"
Running,2023-11-30 16:19:09,Berkeley Running,7.03,00:44:36,6:21,89,"8,312"
Running,2023-11-29 16:38:49,Berkeley Running,6.05,00:45:58,7:36,289,"8,198"
Running,2023-11-27 16:32:02,Berkeley Running,5.09,00:36:57,7:15,335,"6,734"
Running,2023-11-26 15:44:37,Berkeley Running,4.15,00:31:08,7:30,285,"5,640"
Running,2023-11-25 16:32:17,Lee County Running,10.39,01:15:48,7:18,56,"13,832"
Running,2023-11-24 20:43:23,Lee County Running,5.62,00:39:48,7:05,23,"7,248"
Running,2023-11-23 19:07:48,Lee County Running,6.02,00:42:51,7:07,33,"7,870"
Running,2023-11-22 15:47:07,Lee County Running,4.12,00:31:14,7:35,23,"5,666"
Running,2023-11-21 09:34:54,Berkeley Running,8.10,01:09:58,8:38,308,"12,368"
Running,2023-11-20 16:41:16,Berkeley Running,6.18,00:44:47,7:15,279,"8,088"
Running,2023-11-19 21:07:42,Berkeley Running,5.40,00:41:06,7:37,276,"7,318"
Running,2023-11-18 11:00:06,Berkeley Running,4.25,00:30:09,7:06,269,"5,404"
Running,2023-11-17 12:42:05,Berkeley Running,5.08,00:44:15,8:43,548,"7,658"
Running,2023-11-16 12:45:58,Berkeley Running,5.04,00:37:50,7:30,236,"6,850"
Running,2023-11-15 16:20:56,Berkeley Running,4.13,00:30:27,7:22,39,"5,432"
Running,2023-11-14 17:35:53,Berkeley Running,7.20,00:59:13,8:13,20,"10,372"
Running,2023-11-13 10:26:06,Berkeley Running,4.00,00:28:57,7:14,49,"5,250"
Running,2023-11-12 18:35:12,Berkeley Running,3.95,00:30:02,7:36,108,"5,438"
Running,2023-11-11 10:06:28,Berkeley Running,5.01,00:41:42,8:19,240,"7,360"
Running,2023-11-10 18:05:52,Berkeley Running,2.46,00:21:20,8:39,259,"3,828"
Running,2023-11-09 10:50:15,Berkeley Running,4.09,00:35:10,8:36,272,"6,360"
Running,2023-11-08 16:46:05,Berkeley Running,6.20,00:48:48,7:52,256,"8,702"
Running,2023-11-07 16:42:12,Berkeley Running,0.34,00:02:39.4,7:49,43,484
Running,2023-11-07 16:05:16,Berkeley Running,4.64,00:30:58,6:41,23,"5,642"
Running,2023-11-06 16:34:34,Berkeley Running,5.07,00:42:10,8:19,243,"7,530"
Running,2023-11-05 17:30:51,Berkeley Running,4.10,00:33:39,8:12,243,"5,972"
Running,2023-11-04 18:07:05,Berkeley Running,7.06,00:41:40,5:54,39,"7,678"
Running,2023-11-03 18:45:17,Berkeley Running,4.04,00:30:05,7:27,394,"5,382"
Running,2023-11-02 18:55:54,Berkeley Running,0.62,00:04:28.2,7:11,--,810
Running,2023-11-02 16:23:50,Berkeley Running,5.80,00:52:17,9:01,804,"9,236"
